CGPA,Attendance,CRT_Score,Placed
8.25,56.1,5,Yes
6.1,59.6,9,Yes
7.31,56.3,4,Yes
8.09,80.3,9,Yes
7.43,67.5,1,No
6.19,74.0,5,Yes
9.62,70.1,2,Yes
7.04,70.5,5,No
8.64,79.1,7,Yes
6.76,83.3,6,Yes
8.53,57.1,4,Yes
9.74,93.5,2,Yes
7.45,92.5,3,Yes
6.4,67.0,2,No
6.24,87.8,3,No
6.66,96.6,9,Yes
6.89,89.6,1,Yes
5.64,69.2,5,Yes
9.43,80.5,6,Yes
7.65,94.8,8,Yes
6.1,88.5,9,Yes
8.01,95.4,7,Yes
9.79,61.2,8,Yes
5.7,59.9,3,No
7.32,57.9,7,Yes
7.51,66.3,9,Yes
5.55,87.4,9,Yes
8.8,70.3,5,Yes
7.45,97.9,5,No
8.78,77.8,2,No
6.78,83.8,10,Yes
7.11,62.3,9,Yes
8.08,77.0,2,No
9.28,92.4,5,Yes
6.54,80.5,2,Yes
7.59,58.1,9,Yes
6.05,76.4,9,Yes
7.77,82.3,4,No
8.75,86.0,5,Yes
8.39,71.8,9,Yes
6.57,57.9,1,No
6.49,64.9,2,No
5.75,58.0,1,No
5.8,65.7,8,Yes
6.07,97.1,10,Yes
6.54,76.3,7,Yes
5.92,74.4,7,Yes
9.21,57.4,2,Yes
8.63,91.0,2,Yes
6.32,75.2,7,Yes
7.49,94.4,2,Yes
9.2,79.8,1,Yes
7.82,55.7,2,No
9.15,62.5,8,Yes
9.22,95.6,3,Yes
9.74,66.9,8,Yes
8.5,87.9,9,Yes
7.59,63.5,4,No
7.99,79.4,6,Yes
8.01,77.6,9,Yes
9.63,58.6,3,Yes
5.79,93.8,7,Yes
9.33,66.1,10,Yes
5.85,84.6,10,Yes
9.52,64.2,6,Yes
7.2,85.2,5,Yes
9.49,97.1,1,Yes
9.79,99.8,2,Yes
7.68,61.0,6,No
9.28,71.6,3,Yes
7.84,68.6,9,Yes
9.01,68.5,2,No
6.08,60.2,2,No
6.17,67.7,4,No
6.38,83.5,5,Yes
6.58,95.9,1,Yes
7.32,67.5,1,No
6.06,99.1,3,No
7.87,74.2,1,Yes
9.56,86.1,3,Yes
9.09,81.2,3,Yes
5.68,71.4,1,No
6.4,66.2,2,No
7.91,94.4,10,Yes
9.48,65.7,3,No
8.99,94.7,1,Yes
9.48,90.2,7,Yes
9.22,91.5,5,Yes
8.52,72.2,1,No
6.46,91.7,8,Yes
9.03,94.2,4,Yes
6.33,69.8,2,No
6.7,83.9,7,Yes
9.13,69.9,1,Yes
9.67,63.0,5,Yes
8.07,70.6,6,Yes
9.73,60.2,10,Yes
5.69,74.6,9,No
7.82,87.4,4,Yes
5.8,84.9,6,No
8.35,60.6,5,Yes
8.37,69.7,5,Yes
6.32,84.9,7,Yes
9.38,82.7,5,Yes
9.09,68.7,4,Yes
7.99,84.5,8,Yes
8.41,78.0,3,Yes
6.72,84.9,10,Yes
9.02,88.8,5,Yes
6.36,56.1,4,No
8.13,89.6,8,Yes
8.21,63.7,7,Yes
6.55,84.5,1,No
9.2,94.8,7,Yes
8.96,86.3,8,Yes
6.57,93.2,8,Yes
7.5,78.9,9,Yes
9.59,95.1,10,Yes
9.34,74.2,9,Yes
6.18,93.8,8,Yes
6.56,83.7,9,Yes
6.53,74.8,5,Yes
6.94,95.2,2,Yes
6.49,86.2,4,Yes
7.25,79.4,7,Yes
9.08,72.5,10,Yes
5.58,94.6,10,Yes
5.53,70.8,7,No
9.6,73.9,9,Yes
9.36,77.0,5,Yes
5.62,70.1,7,No
9.11,96.4,10,Yes
9.4,81.6,1,Yes
7.34,94.0,3,Yes
7.13,64.5,6,Yes
9.28,67.5,7,Yes
5.85,55.9,9,Yes
9.59,65.1,2,Yes
8.3,88.9,4,Yes
5.59,61.9,3,No
5.99,97.6,8,Yes
8.8,62.6,10,Yes
8.59,90.0,3,No
5.96,56.2,5,No
9.4,71.9,4,Yes
8.47,83.2,2,Yes
6.8,85.8,2,No
7.93,56.8,9,Yes
7.09,77.8,6,Yes
7.31,77.1,7,No
8.23,92.3,3,Yes
8.66,98.4,5,Yes
9.45,89.9,8,Yes
8.64,67.1,4,Yes
5.87,94.7,4,No
7.95,85.1,6,Yes
9.16,63.2,4,Yes
6.61,67.6,10,Yes
6.69,55.5,4,Yes
8.6,77.0,4,Yes
8.28,77.1,1,Yes
6.45,86.1,5,Yes
7.09,79.9,6,Yes
8.71,69.9,8,Yes
6.58,60.4,4,No
8.69,97.8,3,Yes
8.68,67.4,10,Yes
7.76,67.7,2,No
6.77,71.2,5,Yes
7.8,67.3,1,No
8.5,60.7,8,Yes
5.55,67.8,8,Yes
6.29,57.3,8,Yes
5.78,77.1,10,Yes
5.73,61.7,10,No
5.87,66.2,9,No
8.11,90.6,4,Yes
7.14,95.9,5,Yes
9.76,68.7,10,Yes
9.63,59.5,4,Yes
6.64,58.7,4,Yes
5.82,55.1,8,No
7.52,56.5,5,No
8.52,75.4,4,No
8.89,83.1,4,Yes
7.84,84.1,5,Yes
5.81,62.5,5,No
9.04,96.5,8,Yes
8.46,86.5,5,Yes
7.62,58.6,1,No
8.66,82.2,1,Yes
9.64,92.6,10,Yes
5.59,89.4,5,No
8.78,62.9,9,Yes
9.44,63.2,10,Yes
9.0,98.6,8,Yes
6.93,85.2,3,Yes
8.48,68.0,7,Yes
7.87,75.5,6,Yes
6.0,89.8,9,Yes
5.5,94.1,8,Yes
6.31,71.3,8,Yes
8.77,64.2,9,Yes
6.74,94.6,8,Yes
9.68,82.4,4,Yes
6.84,55.6,7,Yes
9.77,96.1,8,Yes
8.29,61.9,5,Yes
6.68,92.6,8,Yes
7.87,72.3,10,Yes
9.28,93.9,5,Yes
9.17,70.3,9,Yes
5.51,87.7,10,Yes
8.34,93.9,8,Yes
6.98,79.8,9,Yes
9.51,94.1,4,Yes
6.5,89.9,1,No
7.53,96.1,7,Yes
8.35,91.9,3,Yes
5.66,77.6,10,Yes
5.93,93.0,2,No
7.46,87.5,7,Yes
9.67,58.4,5,Yes
8.48,84.2,6,Yes
9.2,72.1,6,Yes
9.32,77.0,9,Yes
5.79,83.4,5,No
8.71,74.5,2,Yes
8.53,59.5,3,Yes
9.38,57.1,1,Yes
7.11,61.6,9,Yes
8.43,63.1,3,Yes
9.24,82.9,4,Yes
8.01,65.4,5,Yes
8.37,95.5,8,Yes
8.41,62.1,8,Yes
9.75,68.5,7,Yes
7.46,68.6,7,Yes
5.96,72.2,6,No
9.77,68.3,7,Yes
7.93,85.9,1,No
8.7,92.5,5,Yes
6.49,91.1,4,Yes
8.17,85.5,3,Yes
9.38,84.1,5,Yes
5.64,71.4,3,Yes
6.77,88.6,3,Yes
8.88,94.4,6,Yes
9.43,92.4,5,Yes
9.56,98.5,5,Yes
6.96,60.2,2,Yes
9.66,93.7,7,Yes
8.96,71.5,7,Yes
7.81,75.5,5,Yes
9.04,97.3,2,Yes
7.53,82.9,9,Yes
8.12,84.1,8,Yes
6.8,73.4,3,Yes
5.66,99.8,2,Yes
9.32,61.1,8,Yes
9.58,86.3,9,Yes
8.69,62.0,7,Yes
9.08,82.7,5,Yes
7.09,75.0,4,No
5.93,85.9,9,Yes
8.27,57.7,5,Yes
6.03,93.2,8,Yes
6.41,83.8,1,Yes
6.93,99.5,10,Yes
9.07,79.9,10,Yes
9.24,69.8,3,Yes
8.06,67.5,3,No
7.82,90.9,2,Yes
5.61,55.7,4,No
5.57,66.9,3,No
7.76,88.6,8,Yes
7.06,81.7,8,Yes
9.57,57.0,9,Yes
8.27,56.4,8,Yes
7.33,59.9,8,Yes
5.85,82.4,2,Yes
8.18,81.3,6,Yes
8.07,68.3,9,Yes
5.93,86.6,9,Yes
6.42,75.3,4,No
9.06,72.9,2,Yes
6.84,66.5,3,No
7.54,59.1,2,Yes
5.92,88.2,3,No
8.02,80.3,6,Yes
7.27,94.3,7,Yes
8.6,98.6,10,Yes
5.95,77.8,3,No
6.46,59.9,9,Yes
8.78,80.8,7,Yes
9.69,91.8,10,Yes
7.89,82.4,5,Yes
6.68,89.3,6,Yes
6.28,61.4,7,Yes
8.69,98.7,2,Yes
